percentage,city
0.0104,"barro alto"
0.0104,capela
0.0104,varzea
0.0104,urucuia
0.0104,mulungu
0.0104,serranopolis
0.0104,mirador
0.0104,"feira nova"
0.0104,belmonte
0.0104,"ruy barbosa"
0.0104,mauriti
0.0104,"sao sebastiao do oeste"
0.0104,filadelfia
0.0104,"pilar de goias"
0.0104,maracai
0.0104,"santa rosa de lima"
0.0104,colinas
0.0104,jacutinga
0.0104,"cândido mota"
0.0104,"areia branca"
0.0104,palmital
0.0104,mangaratiba
0.0104,virgolandia
0.0104,crucilandia
0.0104,buritis
0.0104,"paraiba do sul"
0.0104,buritirama
0.0104,"engenheiro paulo de frontin"
0.0104,barauna
0.0104,"sao miguel"
0.0104,diamantino
0.0104,turvo
0.0104,penedo
0.0104,valenca
0.0104,irati
0.0104,araguana
0.0104,manacapuru
0.0104,hidrolândia
0.0104,"corrego fundo"
0.0104,"santa barbara de goias"
0.0104,paranacity
0.0104,"augusto de lima"
0.0104,"presidente medici"
0.0104,ipuiuna
0.0104,barcelos
0.0104,riachuelo
0.0104,itaperuna
0.0104,careacu
0.0104,"boa ventura"
0.0104,petrolandia
0.0104,"nova olimpia"
0.0104,natividade
0.0104,botuvera
0.0104,pureza
0.0104,cambuci
0.0104,alcobaca
0.0104,jaguarari
0.0104,canarana
0.0104,itueta
0.0104,macuco
0.0104,"chapada gaucha"
0.0104,itaocara
0.0104,caçu
0.0104,caracol
0.0104,tacaratu
0.0104,"cachoeiras de macacu"
0.0104,"sao francisco de paula"
0.0104,"santa maria madalena"
0.0104,"pedra branca"
0.0104,formoso
0.0104,araruama
0.0104,bacaxa
0.0104,"engenheiro navarro"
0.0104,coqueiral
0.0104,anchieta
0.0104,"wenceslau braz"
0.0104,"domingos martins"
0.0104,"rio manso"
0.0104,queimadas
0.0104,aracuai
0.0104,catanduvas
0.0104,"presidente kennedy"
0.0104,inajá
0.0104,"muniz freire"
0.0104,jangada
0.0104,"belo oriente"
0.0104,tucano
0.0104,"sao joao da serra"
0.0104,bugre
0.0104,"afonso claudio"
0.0104,"laranja da terra"
0.0104,"divisa nova"
0.0104,"santa teresa"
0.0104,"rio das antas"
0.0104,brejinho
0.0104,itaguacu
0.0104,"novo brasil"
0.0104,"sao goncalo do para"
0.0104,lajinha
0.0104,"sao bento"
0.0104,"nova floresta"
0.0104,perdigao
0.0104,"conceição do coité"
0.0104,"antonio carlos"
0.0104,"carmo do cajuru"
0.0104,itaguara
0.0104,quilombo
0.0104,serrinha
0.0052,jaguapitã
0.0052,catuipe
0.0052,"ribeirao cascalheira"
0.0052,anitapolis
0.0052,muliterno
0.0052,"são pedro do ivaí"
0.0052,aruanã
0.0052,"sao valentim do sul"
0.0052,uirapuru
0.0052,carlinda
0.0052,"honorio serpa"
0.0052,"santa rita do araguaia"
0.0052,anahy
0.0052,"joaquim tavora"
0.0052,"montes claros de goias"
0.0052,"roca sales"
0.0052,mossamedes
0.0052,"bom jardim da serra"
0.0052,sananduva
0.0052,"rio do oeste"
0.0052,santiago
0.0052,"salto do itararé"
0.0052,cumari
0.0052,"coronel freitas"
0.0052,"porto alegre do norte"
0.0052,"sao jose do cedro"
0.0052,"pedras grandes"
0.0052,"bom princípio"
0.0052,"nova glória"
0.0052,corumbaiba
0.0052,pontalina
0.0052,figueira
0.0052,"paulo bento"
0.0052,"capao alto"
0.0052,iguaracu
0.0052,brazabrantes
0.0052,tuparendi
0.0052,imbe
0.0052,brasilandia
0.0052,"antonio olinto"
0.0052,cruzmaltina
0.0052,"nova erechim"
0.0052,"barao de melgaco"
0.0052,bataguassu
0.0052,"santa rita do oeste"
0.0052,brunopolis
0.0052,"prudencio thomaz"
0.0052,veranópolis
0.0052,cezarina
0.0052,japorã
0.0052,"ponte alta do norte"
0.0052,"bela vista da caroba"
0.0052,california
0.0052,"grão pará"
0.0052,anastacio
0.0052,imarui
0.0052,"nova pádua"
0.0052,"colonia castrolanda"
0.0052,riqueza
0.0052,"nova esperança"
0.0052,marumbi
0.0052,caraá
0.0052,miranda
0.0052,tocantinopolis
0.0052,"cidade gaucha"
0.0052,itaberai
0.0052,"bocaiuva do sul"
0.0052,"sao lourenco do oeste"
0.0052,"doutor ulysses"
0.0052,"santo expedito do sul"
0.0052,"pindorama do tocantins"
0.0052,"areia branca dos assis"
0.0052,"vila marques"
0.0052,"tres cachoeiras"
0.0052,paranatinga
0.0052,imbituva
0.0052,ermo
0.0052,"nova londrina"
0.0052,"salvador das missoes"
0.0052,"presidente castelo branco"
0.0052,cassilandia
0.0052,andira
0.0052,peixe
0.0052,"engenheiro beltrao"
0.0052,"nova guarita"
0.0052,cristalandia
0.0052,"monte do carmo"
0.0052,"fernandes pinheiro"
0.0052,"nova cantu"
0.0052,"aparecida do rio negro"
0.0052,candói
0.0052,"sao jorge doeste"
0.0052,pitanga
0.0052,"mariano moro"
0.0052,"aguas mornas"
0.0052,goianorte
0.0052,"tres barras do parana"
0.0052,"vila langaro"
0.0052,"santa rita do trivelato"
0.0052,"paulo frontin"
0.0052,"luiz alves"
0.0052,"morro agudo de goias"
0.0052,itapora
0.0052,"planalto alegre"
0.0052,"bernardo sayão"
0.0052,"santa tereza de goiás"
0.0052,palotina
0.0052,"sao miguel do tocantins"
0.0052,"salgado filho"
0.0052,"dona francisca"
0.0052,"salto veloso"
0.0052,"formosa do oeste"
0.0052,aragominas
0.0052,"sao luis de montes belos"
0.0052,"aurora do iguacu"
0.0052,"lajeado do bugre"
0.0052,"nova santa rosa"
0.0052,itapuca
0.0052,"boa esperanca do iguacu"
0.0052,"santo antonio do paraiso"
0.0052,"nova america da colina"
0.0052,guiratinga
0.0052,"sao sebastiao do tocantins"
0.0052,itaguaje
0.0052,"nova hartz"
0.0052,"capao da canoa"
0.0052,"esperanca nova"
0.0052,"campinas do sul"
0.0052,carazinho
0.0052,palmitinho
0.0052,"vale de sao domingos"
0.0052,jaraguari
0.0052,camargo
0.0052,itaara
0.0052,"porto lucena"
0.0052,"senador salgado filho"
0.0052,janiopolis
0.0052,nonoai
0.0052,guaramirim
0.0052,juina
0.0052,morretes
0.0052,"santo augusto"
0.0052,espumoso
0.0052,ijui
0.0052,"barra do guarita"
0.0052,edealina
0.0052,"rodeio bonito"
0.0052,"santa rita do novo destino"
0.0052,ibirubá
0.0052,forquetinha
0.0052,atalanta
0.0052,"são joão do caiuá"
0.0052,bossoroca
0.0052,"residencia fuck"
0.0052,"rosario do sul"
0.0052,"fortaleza dos valos"
0.0052,"rio bonito do iguacu"
0.0052,barrolandia
0.0052,"sao clemente"
0.0052,urussanga
0.0052,"são vicente do sul"
0.0052,"alto paraguai"
0.0052,"passa sete"
0.0052,"campo novo do parecis"
0.0052,xanxere
0.0052,"cerro grande do sul"
0.0052,"presidente getúlio"
0.0052,"sao jose do ivai"
0.0052,"major gercino"
0.0052,"cacapava do sul"
0.0052,porecatu
0.0052,guabiruba
0.0052,piratini
0.0052,ivinhema
0.0052,parai
0.0052,cerrito
0.0052,"major vieira"
0.0052,quinta
0.0052,ibirapuita
0.0052,taquari
0.0052,"capao do leao"
0.0052,marcelândia
0.0052,capinzal
0.0052,"sonho azul"
0.0052,vacaria
0.0052,"doutor ricardo"
0.0052,seara
0.0052,westfalia
0.0052,"sao jeronimo"
0.0052,brochier
